Région;Ouvrage;Nom de l'ouvrage;Puissance max de l'ouvrage;Poste 1;Pourcentage 1;Poste 2;Pourcentage 2;Poste 3;Pourcentage 3;Specificité;Occurrence;Durée;Pérennité;geom;centroid
CENTRE-VAL DE LOIRE;AUNEAL41MALAG;LIAISON 90kV N0 1 AUNEAU-MALAGUAY;80.0;AUNEA;-68.0;VOVES;-44.0;B.PAI;-44.0;;Moyenne : entre 25 et 75 fois par an;]6h-10h];FAIBLE;;
CENTRE-VAL DE LOIRE;CHAN5L41ZSEMB;LIAISON 90kV N0 1 CHANCEAUX-COUESMES-SEMBLANCAY;50.0;SEMBL;-78.0;COUE5;-49.0;V.BOU;-41.0;Contrainte en journée;Moyenne : entre 25 et 75 fois par an;]4h-6h];MOYENNE;;
GRAND EST;FRONC;FRONCLES;45.0;FRONC;-34.0;GONCO;-32.0;VESAI;-32.0;;Faible : entre 5 et 25 fois par an;]2h-4h];MOYENNE;;
GRAND EST;SARREL31ZHEMI;LIAISON 63kV N0 1 HEMING-RECHICOURT-LE-CHATEAU-SARREBOURG;23.0;R.CH5;-58.0;CIREY;-30.0;BIBER;-15.0;Contrainte en journée;Très faible : jusqu'à 5 fois par an;]2h-4h];ELEVEE;;
HAUTS-DE-FRANCE;GAUC5L31ROISE;LIAISON 63kV N0 1 GAUCHY-ROISEL;35.0;ROISE;-59.0;HAM;-21.0;GAUC5;11.0;;Faible : entre 5 et 25 fois par an;]2h-4h];ELEVEE;;
NOUVELLE-AQUITAINE;EXCIDL31THIVI;LIAISON 63kV N0 1 EXCIDEUIL-THIVIERS;7.0;THIVI;47.0;EXCID;-37.0;NONTR;23.0;Contrainte en journée;Faible : entre 5 et 25 fois par an;]2h-4h];MOYENNE;;
OCCITANIE;AGUESL31MILLA;LIAISON 63kV N0 1 AGUESSAC-MILLAU;48.0;MILLA;-45.0;AGUES;41.0;SEVER;41.0;Contrainte en journée;Faible : entre 5 et 25 fois par an;]2h-4h];FAIBLE;;
OCCITANIE;LOUPIL31PEZEN;LIAISON 63kV N0 1 LOUPIAN-PEZENAS;8.0;LOUPI;31.0;PEZEN;-29.0;BALAR;19.0;Contrainte en journée;Très faible : jusqu'à 5 fois par an;]0h-2h];ELEVEE;;
PAYS DE LA LOIRE;J.LOIL41ZTREL;LIAISON 90kV N0 1 JUIGNE-SUR-LOIRE - ROSERAIE (LA) - TRELAZE;10.0;J.LOI;-77.0;DISTR;-19.0;D.FON;-18.0;Contrainte en journée;Très faible : jusqu'à 5 fois par an;]2h-4h];ELEVEE;;
AUVERGNE-RHÔNE-ALPES;AOSTEL61BISSY;LIAISON 225kV N0 1 AOSTE-BISSY;39.0;AOSTE;-46.0;BRENS;-45.0;BELLE;-38.0;Contrainte en journée;Très faible : jusqu'à 5 fois par an;]0h-2h];ELEVEE;;
AUVERGNE-RHÔNE-ALPES;MTLUCL31ZDURR;LIAISON 63kV N0 1 DURE (LA) - MONTLUCON - VALLON;2.0;VALL7;-46.0;DURRE;-32.0;SSVI7;-31.0;Contrainte en journée;Très faible : jusqu'à 5 fois par an;]0h-2h];MOYENNE;;
GRAND EST;EUROPL41M.SEI;LIAISON 90kV N0 1 EUROPORT-MERY-SUR-SEINE;59.0;EUROP;-46.0;F.CHA;-27.0;AULNA;-24.0;;Faible : entre 5 et 25 fois par an;]2h-4h];ELEVEE;;
GRAND EST;SUIPPL31VOUZI;LIAISON 63kV N0 1 SUIPPES-VOUZIERS;23.0;VOUZI;-37.0;SUIPP;19.0;SEUIL;-15.0;;Faible : entre 5 et 25 fois par an;]2h-4h];ELEVEE;;
