Région;Puissance ENR installée;Puissance Totale à compenser;Énergie non évacuée moyenne Printemps;Énergie non évacuée moyenne Été;Énergie non évacuée moyenne Automne;Énergie non évacuée moyenne Hiver
GRAND EST;10679.0;1429.0;12025.0;40904.0;15672.0;111190.0
PAYS DE LA LOIRE;4941.0;333.0;4530.0;16642.0;2978.0;5524.0
PROVENCE-ALPES-CÔTE D'AZUR;7953.0;181.0;1054.0;8960.0;0.0;20.0
OCCITANIE;10761.0;456.0;4773.0;18367.0;407.0;2719.0
HAUTS-DE-FRANCE;9097.0;1226.0;17477.0;48491.0;10210.0;90994.0
BOURGOGNE-FRANCHE-COMTÉ;6019.0;1115.0;22122.0;67564.0;13845.0;75745.0
BRETAGNE;4103.0;32.0;904.0;1713.0;1354.0;7597.0
AUVERGNE-RHÔNE-ALPES;14575.0;187.0;222.0;2150.0;155.0;250.0
ÎLE-DE-FRANCE;786.0;0.0;0.0;0.0;0.0;0.0
NORMANDIE;3421.0;47.0;156.0;906.0;279.0;2282.0
CENTRE-VAL DE LOIRE;4911.0;1694.0;21002.0;108765.0;13760.0;48141.0
NOUVELLE-AQUITAINE;18829.0;2803.0;30830.0;204145.0;18865.0;40178.0
