ANNEE;Code INSEE de la région;Région;Niveau de tension (kV);Nombre de postes électriques
2025;53;BRETAGNE;400;4
2025;76;OCCITANIE;400;14
2025;84;AUVERGNE-RHONE-ALPES;225;91
2025;53;BRETAGNE;225;21
2025;32;HAUTS-DE-FRANCE;225;67
2025;52;PAYS DE LA LOIRE;225;28
2025;53;BRETAGNE;150;0
2025;11;ILE-DE-FRANCE;150;0
2025;75;NOUVELLE-AQUITAINE;150;3
2025;44;GRAND EST;90;15
2025;11;ILE-DE-FRANCE;90;11
2025;24;CENTRE-VAL DE LOIRE;63;5
2025;32;HAUTS-DE-FRANCE;63;62
2025;84;AUVERGNE-RHONE-ALPES;45;9
2025;44;GRAND EST;45;0
2025;32;HAUTS-DE-FRANCE;45;0
2025;84;AUVERGNE-RHONE-ALPES;400;28
2025;27;BOURGOGNE-FRANCHE-COMTE;400;8
2025;52;PAYS DE LA LOIRE;400;7
2025;84;AUVERGNE-RHONE-ALPES;150;0
2025;24;CENTRE-VAL DE LOIRE;150;0
2025;27;BOURGOGNE-FRANCHE-COMTE;63;161
2025;44;GRAND EST;63;167
2025;27;BOURGOGNE-FRANCHE-COMTE;45;0
2025;53;BRETAGNE;45;0
2025;52;PAYS DE LA LOIRE;45;0
2025;24;CENTRE-VAL DE LOIRE;400;14
2025;32;HAUTS-DE-FRANCE;400;18
2025;75;NOUVELLE-AQUITAINE;400;15
2025;27;BOURGOGNE-FRANCHE-COMTE;225;31
2025;24;CENTRE-VAL DE LOIRE;225;12
2025;28;NORMANDIE;225;24
2025;93;PROVENCE-ALPES-COTE D'AZUR;225;66
2025;32;HAUTS-DE-FRANCE;150;0
2025;52;PAYS DE LA LOIRE;150;0
2025;93;PROVENCE-ALPES-COTE D'AZUR;150;8
2025;24;CENTRE-VAL DE LOIRE;90;119
2025;76;OCCITANIE;90;0
2025;52;PAYS DE LA LOIRE;90;104
2025;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2025;11;ILE-DE-FRANCE;45;0
2025;76;OCCITANIE;45;0
2025;11;ILE-DE-FRANCE;400;12
2025;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2025;11;ILE-DE-FRANCE;225;115
2025;75;NOUVELLE-AQUITAINE;225;45
2025;76;OCCITANIE;150;11
2025;27;BOURGOGNE-FRANCHE-COMTE;90;0
2025;53;BRETAGNE;90;30
2025;53;BRETAGNE;63;94
2025;28;NORMANDIE;63;2
2025;75;NOUVELLE-AQUITAINE;63;149
2025;76;OCCITANIE;63;277
2025;93;PROVENCE-ALPES-COTE D'AZUR;63;134
2025;24;CENTRE-VAL DE LOIRE;45;0
2025;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2025;44;GRAND EST;400;20
2025;28;NORMANDIE;400;13
2025;44;GRAND EST;225;65
2025;76;OCCITANIE;225;60
2025;27;BOURGOGNE-FRANCHE-COMTE;150;1
2025;44;GRAND EST;150;0
2025;28;NORMANDIE;150;0
2025;84;AUVERGNE-RHONE-ALPES;90;8
