Date;Secteur activité;Code tension raccordement;Tension raccordement;00h00;00h30;01h00;01h30;02h00;02h30;03h00;03h30;04h00;04h30;05h00;05h30;06h00;06h30;07h00;07h30;08h00;08h30;09h00;09h30;10h00;10h30;11h00;11h30;12h00;12h30;13h00;13h30;14h00;14h30;15h00;15h30;16h00;16h30;17h00;17h30;18h00;18h30;19h00;19h30;20h00;20h30;21h00;21h30;22h00;22h30;23h00;23h30;Nb points de soutirage;Energie journalière (MWh);Qualité
2023-12-28;J-Information et communication;6;225 kV;2.4215;2.442;2.4145;2.404;2.411;2.409;2.4465;2.4335;2.4315;2.4475;2.4615;2.4545;2.447;2.4505;2.438;2.442;2.446;2.449;2.4645;2.4825;2.522;2.486;2.5195;2.508;2.4835;2.4825;2.4755;2.49;2.47;2.4665;2.489;2.4585;2.452;2.4325;2.3985;2.4465;2.421;2.456;2.444;2.414;2.433;2.422;2.437;2.444;2.434;2.4385;2.436;2.428;4;58.79225;Consolidée
2023-12-29;D-Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;3;63 kV;63.143;62.143;61.582;62.1555;61.917;62.596;61.445;61.1495;60.408;60.435;60.5145;61.7215;61.1925;60.2865;60.2455;59.933;60.123;58.837;58.8135;58.283;55.8725;53.206;53.407;52.785;53.2935;53.204;53.2585;55.06;55.298;54.9205;55.465;55.628;56.1415;56.453;56.063;56.654;56.775;56.7725;57.649;58.383;58.5565;59.048;58.3915;59.2145;59.508;58.6635;59.808;59.5995;15;1398.00125;Consolidée
2023-12-29;D-Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;4;90 kV;1.246;1.2515;1.2305;1.2145;1.2105;1.1975;1.223;1.209;1.2155;1.2395;1.202;1.256;1.26;1.2405;1.2775;1.3195;1.35;1.3945;1.3445;1.359;1.342;1.3605;1.334;1.36;1.338;1.3035;1.295;1.2925;1.297;1.3025;1.2575;1.2485;1.227;1.2425;1.2405;1.262;1.2565;1.254;1.247;1.219;1.2625;1.245;1.268;1.24;1.258;1.2455;1.245;1.215;4;30.44975;Consolidée
2023-12-29;J-Information et communication;6;225 kV;2.423;2.4235;2.441;2.4125;2.44;2.435;2.441;2.449;2.462;2.443;2.4195;2.4325;2.4225;2.404;2.461;2.4145;2.426;2.4565;2.4315;2.477;2.426;2.473;2.471;2.442;2.4615;2.4035;2.4285;2.4335;2.4205;2.436;2.41;2.429;2.4015;2.4085;2.412;2.4085;2.4305;2.4005;2.4135;2.4035;2.415;2.3995;2.3855;2.408;2.4315;2.423;2.375;2.414;4;58.23975;Consolidée
2023-12-30;C-Industrie manufacturière;3;63 kV;1170.987596;1189.672722;1172.490726;1167.665954;1175.736021;1145.752236;1176.269467;1189.078548;1171.38365;1182.753497;1188.25281;1167.542627;1187.318245;1185.331661;1186.118783;1189.208211;1184.295041;1195.247921;1185.916077;1168.39208;1184.422946;1189.041254;1146.652132;1142.359912;1139.23562;1144.882384;1142.706385;1156.638196;1128.692355;1151.696269;1161.099861;1157.398185;1135.981597;1154.451849;1120.957153;1163.551695;1168.835005;1173.958901;1167.001942;1164.042542;1162.082075;1154.722687;1160.955026;1159.214948;1148.334195;1150.131643;1135.258386;1139.501103;323;27941.6100595;Consolidée
2023-12-31;C-Industrie manufacturière;6;225 kV;1953.913238;1934.477678;1955.538697;1957.20289;1932.197646;1946.006296;1940.027977;1957.017912;1939.202275;1973.855641;1944.448766;1975.955824;1936.919239;1928.338756;1943.471077;1926.317581;1936.242114;1938.008147;1957.201496;1955.967909;1945.230764;1942.271576;1948.325007;1932.848063;1936.042973;1928.610657;1921.981251;1953.445309;1926.542805;1930.174308;1918.168073;1907.395235;1904.374262;1932.878084;1969.412033;1918.953495;1931.859978;1921.24538;1931.189907;1923.578139;1926.515419;1929.248771;1925.664793;1925.213552;1924.816369;1931.389016;1924.364126;1923.328761;98;46483.6896325;Consolidée
2023-12-31;M-Activités spécialisées, scientifiques et techniques;7;400 kV;59.129;59.363;59.6055;59.8095;60.395;60.101;60.671;60.851;60.3495;60.5655;60.4575;61.0575;60.323;59.837;62.759;58.9465;66.359;70.289;57.6805;63.4765;57.324;57.9505;71.195;56.7205;69.9865;63.551;57.623;58.499;78.929;61.5385;70.103;58.7845;65.327;62.237;59.837;65.3485;77.927;68.711;64.601;67.3875;64.937;75.749;66.719;59.7495;61.2855;60.161;62.315;60.7645;6;1513.64325;Consolidée
2024-01-01;C-Industrie manufacturière;3;63 kV;973.523434;977.399669;972.671283;974.872626;978.312855;975.034152;978.240938;977.742798;981.118162;980.229974;980.523291;979.860502;979.279528;971.943098;981.215257;982.647397;980.062434;977.455728;970.396252;969.810954;970.875135;972.820727;968.686704;968.250212;968.059706;967.92904;967.047432;967.434198;965.438535;969.860428;971.740576;969.774064;969.196394;975.087213;987.040328;998.375307;997.121608;1003.697403;999.01225;999.764401;999.975402;1004.765836;1009.04487;1012.786424;1013.648991;1022.703151;1022.544414;1023.451386;324;23604.2362335;Consolidée
2024-01-01;C-Industrie manufacturière;4;90 kV;431.36869;434.578542;431.514004;432.869719;431.700842;431.856551;430.15264;432.814737;431.925198;432.183156;433.955388;435.176661;435.347684;436.230592;436.068007;437.206801;438.199126;441.072277;436.608174;436.547407;436.428348;440.54445;437.34442;435.443581;437.573512;435.698818;437.183547;435.653906;435.617146;435.147871;436.658658;437.087097;436.753937;438.89211;439.03669;440.280428;438.070088;438.295523;440.458708;440.622449;439.240505;438.237516;437.491462;436.118041;437.884758;436.36981;439.236128;439.758;117;10472.2518515;Consolidée
2024-01-01;C-Industrie manufacturière;6;225 kV;1931.874392;1923.83575;1940.050857;1929.874496;1945.89339;1932.533234;1938.294626;1943.131428;1938.347184;1937.240222;1926.884416;1923.173081;1918.238334;1931.592441;1932.449848;1932.931806;1944.664939;1969.132195;1962.062265;1936.29024;1924.866361;1922.047601;1922.112329;1931.390726;1927.428139;1931.798632;1920.176079;1915.672046;1918.866443;1933.035287;1925.381019;1909.420019;1924.448235;1921.50324;1924.484732;1947.650074;1950.80239;1932.18619;1935.357077;1924.701595;1914.564044;1907.806228;1936.541096;1929.340619;1950.967438;1934.88215;1957.028112;1979.418395;98;46396.18572;Consolidée
