Date;Secteur activité;Code tension raccordement;Tension raccordement;00h00;00h30;01h00;01h30;02h00;02h30;03h00;03h30;04h00;04h30;05h00;05h30;06h00;06h30;07h00;07h30;08h00;08h30;09h00;09h30;10h00;10h30;11h00;11h30;12h00;12h30;13h00;13h30;14h00;14h30;15h00;15h30;16h00;16h30;17h00;17h30;18h00;18h30;19h00;19h30;20h00;20h30;21h00;21h30;22h00;22h30;23h00;23h30;Nb points de soutirage;Energie journalière (MWh);Qualité
2019-05-01;Autre;2;45 kV;25.412;35.745;37.61;37.906;34.399;34.151;32.349;31.952;31.558;32.263;31.534;32.994;33.262;39.955;46.633;48.177;49.122;49.086;47.683;41.486;43.332;27.815;27.697;27.69;27.991;28.067;27.922;23.519;25.547;28.33;28.483;27.707;26.448;25.326;25.079;25.229;24.62;31.964;35.773;36.951;33.964;33.365;32.526;24.389;24.613;24.811;24.967;26.491;8;776.9465;Consolidée
2019-05-02;Tertiaire;6;225 kV;127.891;103.115;77.562;97.041;84.26;91.542;90.939;87.564;111.25;90.235;130.083;177.036;267.412;382.599;533.16;635.107;743.72;702.869;647.351;607.268;541.902;542.05;542.431;513.526;505.474;438.566;515.397;429.576;416.97;489.825;492.563;521.084;573.073;558.151;587.777;679.164;757.762;731.218;734.472;784.58;718.432;579.445;534.292;478.226;370.872;277.533;215.1;148.215;57;10232.84;Consolidée
2019-05-03;Autre;3;63 kV;916.021;914.71;917.078;888.766;881.655;868.921;880.597;872.895;873.638;871.534;860.899;891.676;917.529;959.398;973.73;987.848;993.071;1009.184;1012.789;1009.191;983.005;968.969;959.416;949.745;960.768;956.7;954.922;955.429;951.469;957.737;969.799;965.918;952.708;967.252;960.434;968.989;961.343;951.914;949.196;942.911;931.804;929.643;924.331;916.272;914.674;897.486;918.075;914.069;226;22518.054;Consolidée
2019-05-03;Grande Industrie;2;45 kV;170.883;169.098;170.922;166.447;158.163;167.07;165.425;160.395;166.67;166.661;165.699;154.096;163.882;167.588;155.939;149.779;162.044;159.846;140.234;149.746;149.791;165.271;170.815;168.303;170.536;166.067;163.593;168.489;168.34;167.38;166.895;165.285;165.432;164.948;169.134;168.792;154.501;155.126;165.673;163.751;162.978;164.583;162.215;161.395;168.601;165.555;161.715;161.023;7;3918.387;Consolidée
2019-05-03;Grande Industrie;6;225 kV;2706.271;2767.461;2702.582;2753.029;2719.034;2771.034;2691.628;2729.688;2716.335;2614.154;2666.899;2649.68;2675.113;2737.964;2636.492;2594.621;2643.885;2639.278;2555.433;2564.447;2617.137;2569.817;2599.552;2604.119;2590.941;2594.482;2576.943;2570.578;2523.976;2543.205;2523.714;2541.963;2553.317;2488.237;2546.232;2561.42;2520.538;2497.832;2436.13;2596.108;2606.332;2680.177;2698.559;2700.755;2763.77;2702.246;2694.992;2698.799;78;63068.4495;Consolidée
2019-05-03;Tertiaire;3;63 kV;219.366;209.369;204.499;197.666;195.409;184.575;181.293;172.662;182.303;196.611;237.653;291.308;365.663;480.279;516.575;534.353;513.217;473.034;418.997;403.018;356.097;312.04;319.989;288.764;305.42;310.778;290.816;304.646;306.366;304.576;321.436;322.081;344.924;391.726;451.995;496.283;512.42;521.803;501.895;510.881;475.649;463.709;401.141;392.507;330.389;305.15;281.625;266.067;332;8284.5115;Consolidée
2019-05-04;Autre;2;45 kV;21.873;21.479;21.033;28.714;27.308;29.826;27.625;28.066;25.384;26.318;26.58;25.947;24.423;27.191;25.591;35.065;38.715;39.194;36.438;36.996;22.812;28.74;36.938;34.946;39.071;39.091;39.006;40.052;39.932;38.751;37.614;40.355;36.176;33.907;34.528;34.089;18.423;18.57;20.53;23.976;24.682;29.667;29.709;29.438;26.558;36.354;39.45;35.361;8;741.246;Consolidée
2019-05-04;Autre;6;225 kV;300.114;295.326;283.533;274.003;272.081;261.401;257.264;255.612;255.264;256.937;262.292;268.468;295.55;292.183;298.616;304.755;332.401;323.68;316.419;329.31;345.239;355.709;319.87;326.223;332.851;336.062;358.091;343.026;345.474;356.518;374.198;363.688;361.828;379.366;366.966;332.815;337.432;325.292;349.939;336.908;341.024;347.037;323.504;327.745;323.046;316.009;303.15;310.282;42;7637.2505;Consolidée
2019-05-05;Autre;2;45 kV;36.822;37.143;36.446;36.616;39.271;40.019;39.885;40.041;37.132;40.886;41.258;41.611;27.004;34.723;44.406;45.529;45.336;36.898;34.947;33.17;37.843;38.238;38.431;38.891;39.238;39.397;36.768;40.786;28.268;33.484;33.974;41.383;22.428;30.297;29.45;29.006;27.602;27.562;27.37;27.574;29.05;26.795;31.282;34.602;36.377;36.571;36.116;36.32;8;852.123;Consolidée
2019-05-06;Tertiaire;6;225 kV;165.884;132.548;105.938;103.491;102.163;80.878;96.574;98.073;91.562;131.299;150.653;220.675;295.963;466.394;636.151;726.573;792.704;762.717;681.889;663.661;556.86;517.864;542.627;536.072;541.082;476.354;534.537;480.033;465.664;517.403;531.88;526.086;591.592;530.6;608.969;681.76;770.461;757.932;828.565;805.423;683.103;576.442;564.987;458.961;380.823;274.435;208.015;118.531;57;10786.4255;Consolidée
2019-05-08;Autre;2;45 kV;21.476;22.392;19.337;22.291;22.011;21.917;21.862;21.766;21.505;20.647;24.985;27.784;27.743;27.507;27.164;27.667;22.849;27.393;27.404;21.227;20.128;20.483;23.259;23.314;22.663;24.324;24.473;25.611;25.163;26.073;25.598;27.702;29.648;27.629;31.017;30.702;31.157;31.012;30.86;30.778;28.154;23.446;26.761;26.899;27.198;28.002;28.169;33.478;8;615.314;Consolidée
