Date;Secteur activité;Code tension raccordement;Tension raccordement;00h00;00h30;01h00;01h30;02h00;02h30;03h00;03h30;04h00;04h30;05h00;05h30;06h00;06h30;07h00;07h30;08h00;08h30;09h00;09h30;10h00;10h30;11h00;11h30;12h00;12h30;13h00;13h30;14h00;14h30;15h00;15h30;16h00;16h30;17h00;17h30;18h00;18h30;19h00;19h30;20h00;20h30;21h00;21h30;22h00;22h30;23h00;23h30;Nb points de soutirage;Energie journalière (MWh);Qualité
2019-01-19;Autre;2;45 kV;19.704;28.68;31.096;29.145;31.408;31.196;30.314;29.117;29.107;29.5;29.463;30.93;31.423;33.288;36.129;38.338;38.585;38.946;37.289;37.419;38.921;23.228;33.015;34.945;38.203;34.349;34.133;27.882;27.64;28.264;27.787;28.226;28.953;30.101;32.287;34.975;36.869;36.886;37.096;36.653;36.866;37.329;21.99;29.754;30.631;30.08;28.535;28.331;8;767.503;Provisoire
2019-01-19;Autre;4;90 kV;340.803;324.196;322.057;323.678;325.635;327.34;336.135;335.395;346.386;345.431;340.815;306.868;303.523;314.987;316.971;310.146;307.299;307.544;309.972;311.091;310.175;307.538;300.415;300.955;314.33;314.212;314.484;318.707;324.263;326.169;307.862;306.647;288.608;303.026;295.9;303.171;299.131;309.562;313.376;314.173;309.993;312.6;313.545;309.635;306.898;307.915;312.316;308.808;75;7555.343;Provisoire
2019-01-19;Autre;6;225 kV;312.386;314.793;303.731;288.839;277.685;262.615;260.771;260.207;263.098;267.156;266.262;281.446;309.726;308.052;318.295;326.767;354.891;338.434;341.654;320.085;342.311;331.362;312.219;311.967;328.71;317.877;331.566;336.198;326.447;326.4;343.652;337.777;328.853;338.105;364.198;333.159;325.882;337.545;327.435;342.13;337.976;336.483;306.528;314.834;308.745;288.157;302.547;283.826;42;7549.891;Provisoire
2019-01-19;Grande Industrie;6;225 kV;2551.848;2550.124;2662.572;2624.03;2586.537;2681.643;2587.373;2583.959;2627.636;2564.147;2597.916;2617.263;2619.383;2631.741;2655.592;2716.935;2632.579;2629.002;2736.373;2727.207;2547.305;2615.507;2652.305;2694.705;2665.821;2634.686;2614.131;2652.289;2630.776;2541.324;2519.812;2538.374;2541.432;2619.647;2568.529;2634.166;2556.454;2433.565;2555.855;2482.261;2664.512;2611.176;2599.51;2537.773;2576.204;2630.33;2655.76;2669.521;78;62613.795;Provisoire
2019-01-19;Tertiaire;2;45 kV;3.323;4.599;2.308;2.287;6.372;2.477;2.303;4.384;2.584;4.734;2.583;4.173;6.998;7.605;15.567;5.068;5.711;7.534;5.657;5.762;6.9;5.478;4.741;3.653;5.137;6.586;3.908;4.217;4.826;4.75;3.448;3.84;9.895;9.648;12.696;5.687;8.399;5.858;3.699;3.005;5.586;2.428;4.096;8.249;3.927;3.995;2.285;2.321;8;125.6435;Provisoire
2019-01-20;Autre;3;63 kV;823.869;821.2;822.352;813.464;804.898;788.2;786.044;790.432;785.214;788.969;771.633;788.068;819.574;820.839;815.472;819.6;816.221;813.089;796.725;808.451;807.128;803.273;818.955;801.535;791.188;790.001;790.709;804.31;800.505;804.885;808.965;808.011;818.635;815.159;811.337;814.914;815.951;818.928;823.897;821.911;815.02;815.202;808.105;813.161;810.997;807.01;802.026;800.687;225;19368.3595;Provisoire
2019-01-21;Autre;2;45 kV;39.009;26.064;26.159;25.876;25.778;24.225;25.691;25.672;25.665;24.137;25.607;30.314;30.28;21.473;21.036;21.044;18.97;18.083;14.307;14.536;14.823;18.602;19.246;20.077;19.826;19.87;20.205;20.737;21.025;21.066;21.391;24.021;22.329;24.318;24.814;24.818;24.638;24.285;22.945;24.689;24.632;30.923;29.75;30.831;29.138;28.946;28.544;27.976;8;574.1955;Provisoire
2019-01-21;Grande Industrie;3;63 kV;1256.355;1317.467;1310.012;1294.019;1294.519;1287.595;1279.744;1275.638;1277.95;1298.923;1314.066;1329.827;1319.802;1365.288;1370.295;1334.134;1328.028;1359.674;1384.051;1367.537;1356.968;1343.055;1346.59;1371.298;1354.484;1353.321;1349.336;1331.687;1335.437;1304.5;1342.836;1350.353;1340.0;1350.393;1375.443;1390.773;1378.142;1410.972;1415.691;1390.704;1359.706;1366.039;1402.285;1390.214;1334.586;1346.4;1325.033;1325.182;196;32203.176;Provisoire
2019-01-21;Grande Industrie;6;225 kV;2713.796;2681.218;2525.689;2566.767;2660.508;2610.536;2622.798;2608.028;2581.553;2666.23;2612.528;2666.648;2704.97;2687.448;2501.958;2519.752;2439.211;2564.341;2640.299;2473.341;2529.899;2399.849;2337.408;2390.362;2468.392;2395.787;2372.767;2352.403;2345.614;2481.024;2444.257;2510.067;2465.483;2453.698;2559.154;2453.4;2449.951;2547.494;2435.928;2522.067;2556.428;2584.203;2614.118;2519.268;2506.672;2497.046;2530.701;2530.154;78;60650.6065;Provisoire
2019-01-21;Tertiaire;6;225 kV;194.332;147.514;136.225;132.272;131.513;111.924;129.444;135.004;130.909;139.002;194.234;235.307;309.897;424.325;624.468;667.309;849.635;768.757;700.638;681.349;588.348;596.128;580.727;547.61;542.092;501.154;551.612;568.937;464.754;517.204;473.165;524.625;552.541;590.267;608.659;691.274;748.067;752.983;795.452;766.689;717.642;577.133;536.889;451.72;369.721;274.422;255.48;192.477;57;11090.915;Provisoire
2019-01-22;Autre;2;45 kV;29.217;30.229;29.995;31.103;31.748;32.03;41.923;43.853;43.41;43.756;29.02;29.094;29.41;22.196;21.971;20.965;21.351;21.796;21.802;21.619;22.456;20.525;22.087;21.761;21.629;21.686;21.061;21.245;21.599;21.983;22.046;20.269;21.084;20.725;21.541;21.702;21.983;20.999;21.399;20.731;20.675;31.409;30.301;30.197;27.228;27.582;25.544;25.083;8;621.509;Provisoire
2019-01-23;Autre;4;90 kV;309.337;294.969;298.523;296.11;295.224;292.836;296.566;308.882;317.019;313.991;296.726;305.263;312.77;309.763;310.687;307.635;274.71;271.27;277.912;274.129;284.324;288.727;297.291;298.916;297.774;298.607;297.517;273.776;279.415;282.934;285.296;296.936;297.937;298.214;308.652;307.707;310.34;303.316;307.848;303.547;304.714;290.152;295.812;294.476;297.324;303.524;311.638;319.867;75;7150.4515;Provisoire
2019-01-23;Autre;6;225 kV;396.677;350.235;337.873;323.491;266.774;282.824;309.181;254.24;246.314;249.356;325.211;289.737;297.092;376.947;323.182;365.92;398.676;398.522;441.231;407.341;414.37;346.58;388.304;324.016;357.935;347.558;328.333;373.104;380.584;329.516;384.125;372.71;342.768;390.492;373.02;345.416;400.283;411.489;365.193;401.656;348.425;310.906;356.447;338.144;297.412;283.313;326.598;298.996;41;8289.2585;Provisoire
2019-01-23;Grande Industrie;2;45 kV;157.97;127.58;150.039;147.963;155.548;155.418;155.885;167.052;140.054;129.265;136.195;171.481;144.106;170.019;169.585;173.602;154.04;174.164;151.564;139.017;163.975;155.734;153.445;169.917;149.884;166.69;166.566;151.493;155.326;156.656;158.82;162.699;162.528;172.292;140.748;139.859;129.963;126.205;147.105;147.165;151.343;138.254;173.507;158.911;156.03;172.347;159.456;141.615;7;3699.54;Provisoire
2019-01-23;Tertiaire;3;63 kV;299.714;224.626;219.359;208.067;220.077;227.755;199.129;202.407;195.395;196.77;238.285;276.34;342.707;388.603;425.334;419.5;404.664;388.733;344.085;335.268;284.066;299.75;282.396;286.184;283.124;305.091;295.912;305.114;286.575;273.072;299.802;303.846;319.748;365.688;384.403;423.778;432.376;443.907;431.99;442.91;426.749;414.71;353.939;340.278;307.873;296.09;265.195;260.895;330;7586.1395;Provisoire
2019-01-25;Autre;2;45 kV;36.356;36.507;37.447;39.025;40.25;40.399;42.397;43.301;42.979;44.806;43.637;42.713;26.624;26.512;26.22;26.028;25.787;25.616;25.621;25.624;25.211;24.889;24.333;25.042;24.37;24.839;24.75;25.143;22.806;23.269;23.463;23.642;23.202;22.704;23.118;23.482;22.697;20.936;22.426;25.164;25.152;26.748;33.672;40.774;41.814;42.285;42.253;42.492;8;734.2625;Provisoire
2019-01-25;Tertiaire;7;400 kV;0.946;0.894;0.914;0.907;0.944;0.928;1.129;1.016;0.979;0.983;1.052;1.048;3.947;14.477;28.261;63.618;70.14;106.914;47.213;67.023;63.212;54.536;55.421;41.359;31.721;64.345;88.744;66.655;45.691;64.058;14.996;56.11;52.714;70.136;32.249;114.707;94.882;107.681;109.436;103.412;75.117;70.938;35.548;71.657;56.663;30.598;27.568;20.923;4;1067.205;Provisoire
2019-01-26;Grande Industrie;4;90 kV;429.317;434.468;437.784;432.231;432.228;425.989;425.34;428.473;416.44;421.203;418.87;425.265;422.711;422.815;418.669;411.407;411.275;413.732;411.992;411.249;411.801;413.452;412.964;402.033;402.365;399.469;397.881;396.921;393.756;391.934;391.664;391.734;395.733;393.792;388.401;385.201;385.047;387.165;388.745;391.742;386.146;383.197;381.387;379.062;377.012;377.363;379.656;378.705;69;9707.893;Provisoire
2019-01-24;Autre;2;45 kV;37.875;37.668;35.919;38.186;38.213;38.086;38.256;22.359;22.659;23.349;23.472;21.033;23.933;23.59;22.038;16.865;16.551;12.582;12.188;20.455;20.197;19.226;18.185;22.083;21.977;21.426;21.609;22.148;22.274;21.911;22.295;22.864;21.835;22.056;22.787;23.507;19.733;23.472;23.111;23.706;23.723;34.474;36.63;37.821;34.368;33.305;33.996;36.213;8;616.1045;Provisoire
