IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
A.ADOP3;POSTE 63kV N0 1 AIRE-SUR-ADOUR;40001;Aire-sur-l'Adour;;< 5 MW;;;;;;
A.BAIP3;POSTE 63kV N0 1 AIX-LES-BAINS;73008;Aix-les-Bains;;< 5 MW;zone soutirage;;;;;
A.COMP6;POSTE 225kV N0 1 AVESNES-LE-COMTE;62063;Avesnes-le-Comte;;< 5 MW;zone soutirage;;;;;
A.HUEP3;POSTE 63kV N0 1 ALPE-D HUEZ;38191;Huez;;< 5 MW;zone soutirage;;;;;
A.LIGP3;POSTE 63kV N0 1 ACHILLE LIGNON;69266;Villeurbanne;;< 5 MW;zone soutirage;;;;;
A.MERP3;POSTE 63kV N0 1 ARGELES-SUR-MER;66008;Argelès-sur-Mer;;< 5 MW;;;;;;
A.MOUP6;POSTE 225kV N0 1 AIX-MOURET;13001;Aix-en-Provence;;< 5 MW;zone soutirage;;;;;
A.PLEP4;POSTE 90kV N0 1 ARGENTRE-DU-PLESSIS;35006;Argentré-du-Plessis;;< 5 MW;zone soutirage;;;;;
ABBENP3;POSTE 63kV N0 1 ABBENANS;25003;Abbenans;;< 5 MW;;;;;;
ABBEVP4;POSTE 90kV N0 1 ABBEVILLE;80001;Abbeville;;< 5 MW;;;;;;
ABLAIP6;POSTE 225kV N0 1 ABLAINCOURT;80002;Ablaincourt-Pressoir;;< 5 MW;;;;;;
ABONDP3;POSTE 63kV N0 1 ABONDANCE;74001;Abondance;;< 5 MW;zone soutirage;;;;;
ACHIEP4;POSTE 90kV N0 1 ACHIET;62005;Achiet-le-Grand;;< 5 MW;;;;;;
ADELSP3;POSTE 63kV N0 1 ADELSBERG;57628;Sarralbe;;< 5 MW;;;;;;
AGNEAP4;POSTE 90kV N0 1 AGNEAUX;50002;Agneaux;;< 5 MW;zone soutirage;;;;;
